"check_id","passed","evidence"
"candidate_file_allowlist",TRUE,"candidate contains only the two Parquet files, manifest, and build/verification reports"
"unist19_schema_columns",TRUE,"input and public columns: timestamp, source_address, sensor_name, rssi_median, rssi_sum, detections, strength_sum"
"unist19_utc_metadata",TRUE,"public timestamp timezone: UTC"
"unist19_row_count",TRUE,"UNIST campus rows: 15021058"
"unist19_identifier_bijection",TRUE,"UNIST campus pseudonyms: 25603"
"unist19_public_identifier_contract",TRUE,"all public IDs are 32 lowercase hex characters and all required fields are non-null"
"unist19_unique_20second_keys",TRUE,"both input and public files have one row per timestamp-pseudonym-sensor key"
"unist19_exact_nonidentifier_values",TRUE,"missing mapped rows: 0 ; rows with any changed metric value: 0"
"unist19_internal_public_separation",TRUE,"no internal pseudonym is reused as a public pseudonym"
"uou20_schema_columns",TRUE,"input and public columns: timestamp, source_address, sensor_name, rssi_median, rssi_sum, detections, strength_sum"
"uou20_utc_metadata",TRUE,"public timestamp timezone: UTC"
"uou20_row_count",TRUE,"Commercial district rows: 5436472"
"uou20_identifier_bijection",TRUE,"Commercial district pseudonyms: 75224"
"uou20_public_identifier_contract",TRUE,"all public IDs are 32 lowercase hex characters and all required fields are non-null"
"uou20_unique_20second_keys",TRUE,"both input and public files have one row per timestamp-pseudonym-sensor key"
"uou20_exact_nonidentifier_values",TRUE,"missing mapped rows: 0 ; rows with any changed metric value: 0"
"uou20_internal_public_separation",TRUE,"no internal pseudonym is reused as a public pseudonym"
"cross_dataset_identifier_separation",TRUE,"the campus and district public identifier sets do not overlap"
"manifest_contract",TRUE,"manifest records versioned release-specific HMAC metadata without key or mapping fields"
"manifest_file_integrity",TRUE,"both public Parquet sizes and SHA-256 file checksums match the manifest"
